start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status,reversal_attempted
2025-01-01 16:35:00,2025-01-02 01:05:00,102,353.5651545761357,1633.6687500000153,1,EXIT_PROFIT_TARGET_MET,True
2025-01-02 01:10:00,2025-01-04 19:50:00,800,377.2722819251794,4828.987500000039,1,EXIT_PROFIT_TARGET_MET,True
2025-01-04 19:55:00,2025-01-05 08:50:00,155,1172.0642094699451,845.3062500000033,1,EXIT_PROFIT_TARGET_MET,True
2025-01-05 08:55:00,2025-01-06 02:35:00,212,1924.0378549223897,1452.993749999987,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 02:40:00,2025-01-06 15:25:00,153,1198.398170565497,1565.7612521875026,0,EXIT_PROFIT_TARGET_MET,False
2025-01-06 15:30:00,2025-01-07 11:50:00,244,6.586911846388911e+44,1.217102401467322e+45,0,EXIT_PROFIT_TARGET_MET,False
2025-01-07 11:55:00,2025-01-07 15:20:00,41,774.8102786239906,3620.0437500000044,1,EXIT_PROFIT_TARGET_MET,True
2025-01-07 15:25:00,2025-01-07 17:20:00,23,2320410.001584693,545465.9780892569,0,EXIT_PROFIT_TARGET_MET,False
2025-01-07 17:25:00,2025-01-07 19:45:00,28,514.3391258625525,2163.6895837499433,1,EXIT_PROFIT_TARGET_MET,True
2025-01-07 19:50:00,2025-01-08 06:55:00,133,698.3925347778495,3668.7375000000065,1,EXIT_PROFIT_TARGET_MET,True
2025-01-08 07:00:00,2025-01-09 07:55:00,299,1480.9807340385123,7126.749297693259,1,EXIT_PROFIT_TARGET_MET,True
2025-01-09 08:00:00,2025-01-09 13:20:00,64,12436965796144.053,3644429785732.1753,0,EXIT_PROFIT_TARGET_MET,False
2025-01-09 13:25:00,2025-01-09 17:45:00,52,40050883.26041514,13730227.947234862,0,EXIT_PROFIT_TARGET_MET,False
2025-01-09 17:50:00,2025-01-09 20:20:00,30,1416.7435308041058,2757.731249999988,1,EXIT_PROFIT_TARGET_MET,True
2025-01-09 20:25:00,2025-01-10 18:05:00,260,776.3140745256806,11707.31816191841,1,EXIT_PROFIT_TARGET_MET,True
2025-01-10 18:10:00,2025-01-12 15:20:00,542,75691.2935266085,338173.7746505937,0,EXIT_PROFIT_TARGET_MET,False
2025-01-12 15:25:00,2025-01-13 00:45:00,112,2128.458994498087,621.799987499995,1,EXIT_PROFIT_TARGET_MET,True
2025-01-13 00:50:00,2025-01-13 10:30:00,116,1997.9503654510154,1100.287499999995,1,EXIT_PROFIT_TARGET_MET,True
2025-01-13 10:35:00,2025-01-13 21:40:00,133,6036.2427223522445,2935.031250000011,1,EXIT_PROFIT_TARGET_MET,True
2025-01-13 21:45:00,2025-01-14 09:35:00,142,8007.424741473558,3250.9616406254736,0,EXIT_PROFIT_TARGET_MET,False
2025-01-14 09:40:00,2025-01-15 13:45:00,337,630.7943626946144,5563.575625408575,1,EXIT_PROFIT_TARGET_MET,True
2025-01-15 13:50:00,2025-01-15 15:25:00,19,611616.1590879743,164638.7538146732,0,EXIT_PROFIT_TARGET_MET,False
2025-01-15 15:30:00,2025-01-16 14:40:00,278,291.3640495193795,7202.837163796348,1,EXIT_PROFIT_TARGET_MET,True
2025-01-16 14:45:00,2025-01-17 12:50:00,265,521.0205047858472,14491.718662948351,1,EXIT_PROFIT_TARGET_MET,True
2025-01-17 12:55:00,2025-01-19 02:10:00,447,694.6952630705346,3007.137500000008,1,EXIT_PROFIT_TARGET_MET,True
2025-01-19 02:15:00,2025-01-19 22:25:00,242,1104.0187894489827,5218.293750000021,1,EXIT_PROFIT_TARGET_MET,True
2025-01-19 22:30:00,2025-01-19 22:45:00,3,193.21915359765626,77.31338999998843,1,EXIT_PROFIT_TARGET_MET,False
2025-01-19 22:50:00,2025-01-20 07:05:00,99,10650.050483147752,2228.028922300109,1,EXIT_PROFIT_TARGET_MET,True
2025-01-20 07:10:00,2025-01-20 17:35:00,125,-22436.152280510636,25147.537499999984,1,EXIT_REVERSAL_STOP_LOSS,True
2025-01-20 17:40:00,2025-01-21 12:20:00,224,1230.5558441757967,795.417907499992,1,EXIT_PROFIT_TARGET_MET,False
2025-01-21 12:25:00,2025-01-21 14:25:00,24,236.08799832229124,1581.254746644663,1,EXIT_PROFIT_TARGET_MET,True
2025-01-21 14:30:00,2025-01-22 14:15:00,285,6.344887526216718e+41,2.0258076547695453e+42,0,EXIT_PROFIT_TARGET_MET,False
