Timestamp,Open,High,Low,Close,Volume
2025-01-01 00:00:00,3335.11,3335.11,3335.11,3335.11,0.0709
2025-01-01 00:05:00,3341.01,3341.01,3341.01,3341.01,0.047
2025-01-01 00:10:00,3341.01,3341.01,3341.01,3341.01,0.0
2025-01-01 00:15:00,3339.94,3347.03,3339.73,3342.56,0.0214
2025-01-01 00:20:00,3343.31,3345.65,3341.97,3345.36,0.0958
2025-01-01 00:25:00,3347.67,3347.68,3338.69,3342.17,0.31
2025-01-01 00:30:00,3343.4,3351.65,3340.44,3351.65,0.0234
2025-01-01 00:35:00,3352.11,3356.14,3352.11,3356.14,0.0784
2025-01-01 00:40:00,3358.13,3358.13,3355.74,3355.74,0.0027
2025-01-01 00:45:00,3356.64,3356.73,3351.35,3351.35,0.7053
2025-01-01 00:50:00,3358.13,3360.0,3358.13,3360.0,0.04
2025-01-01 00:55:00,3360.0,3360.0,3360.0,3360.0,0.0
2025-01-01 01:00:00,3361.38,3361.38,3361.38,3361.38,0.0009
2025-01-01 01:05:00,3357.51,3357.51,3357.51,3357.51,0.01
2025-01-01 01:10:00,3357.51,3357.51,3357.51,3357.51,0.0
2025-01-01 01:15:00,3357.51,3357.51,3355.73,3355.73,0.1632
2025-01-01 01:20:00,3356.18,3356.18,3356.18,3356.18,0.0115
2025-01-01 01:25:00,3356.18,3356.18,3356.18,3356.18,0.0
2025-01-01 01:30:00,3353.11,3353.11,3350.45,3350.45,0.0321
2025-01-01 01:35:00,3352.76,3352.76,3352.0,3352.0,1.6847
2025-01-01 01:40:00,3351.99,3352.0,3351.99,3352.0,0.4179
2025-01-01 01:45:00,3347.35,3348.73,3336.69,3348.73,10.0689
2025-01-01 01:50:00,3348.72,3350.23,3343.28,3343.28,0.2412
2025-01-01 01:55:00,3342.32,3345.41,3342.29,3345.41,0.3119
2025-01-01 02:00:00,3340.02,3349.27,3340.02,3349.27,0.2489
2025-01-01 02:05:00,3349.27,3349.27,3349.27,3349.27,1.6371
2025-01-01 02:10:00,3346.24,3351.26,3346.24,3351.26,0.0278
2025-01-01 02:15:00,3351.26,3351.26,3351.26,3351.26,0.0
2025-01-01 02:20:00,3348.09,3348.09,3348.09,3348.09,0.0911
2025-01-01 02:25:00,3348.09,3348.09,3348.09,3348.09,0.0
2025-01-01 02:30:00,3348.49,3352.08,3348.49,3350.97,1.1945
2025-01-01 02:35:00,3351.01,3352.76,3351.01,3352.76,0.2871
2025-01-01 02:40:00,3352.76,3352.76,3352.76,3352.76,0.0
2025-01-01 02:45:00,3352.76,3352.76,3352.76,3352.76,0.0
2025-01-01 02:50:00,3347.99,3362.22,3347.99,3357.01,0.6361
2025-01-01 02:55:00,3357.16,3360.79,3357.15,3360.79,2.2407
2025-01-01 03:00:00,3360.63,3360.63,3360.63,3360.63,0.0274
2025-01-01 03:05:00,3352.7,3358.72,3352.7,3358.72,0.1853
2025-01-01 03:10:00,3358.72,3358.72,3358.72,3358.72,0.0
2025-01-01 03:15:00,3357.0,3357.0,3357.0,3357.0,1.2802
2025-01-01 03:20:00,3357.0,3357.0,3357.0,3357.0,0.0
2025-01-01 03:25:00,3352.31,3354.68,3352.31,3354.68,0.5565
2025-01-01 03:30:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 03:35:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 03:40:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 03:45:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 03:50:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 03:55:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 04:00:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 04:05:00,3354.68,3354.68,3354.68,3354.68,0.0
2025-01-01 04:10:00,3350.74,3350.74,3349.48,3349.48,0.2314
2025-01-01 04:15:00,3342.29,3345.46,3337.9,3345.46,1.5083
2025-01-01 04:20:00,3346.76,3346.76,3343.33,3343.34,0.2402
2025-01-01 04:25:00,3347.0,3347.1,3347.0,3347.1,0.3037
2025-01-01 04:30:00,3344.1,3344.1,3343.34,3343.34,0.1889
2025-01-01 04:35:00,3345.22,3345.38,3344.93,3345.38,0.9829
2025-01-01 04:40:00,3345.48,3347.58,3342.29,3346.2,0.1782
2025-01-01 04:45:00,3345.76,3345.76,3342.04,3344.97,0.1562
2025-01-01 04:50:00,3344.24,3344.24,3344.24,3344.24,0.7084
2025-01-01 04:55:00,3344.43,3345.87,3341.31,3341.31,0.0222
2025-01-01 05:00:00,3342.58,3345.0,3342.58,3345.0,15.4871
2025-01-01 05:05:00,3345.0,3345.0,3345.0,3345.0,0.0
2025-01-01 05:10:00,3345.09,3345.09,3345.09,3345.09,2.7106
2025-01-01 05:15:00,3345.87,3345.87,3345.87,3345.87,0.9904
2025-01-01 05:20:00,3345.16,3345.87,3345.16,3345.87,0.532
2025-01-01 05:25:00,3345.87,3345.87,3345.87,3345.87,0.0
2025-01-01 05:30:00,3348.69,3348.69,3347.84,3347.84,0.0114
2025-01-01 05:35:00,3347.84,3347.84,3347.84,3347.84,0.0
2025-01-01 05:40:00,3345.0,3345.0,3345.0,3345.0,2.1857
2025-01-01 05:45:00,3348.35,3348.35,3348.35,3348.35,0.0137
2025-01-01 05:50:00,3348.35,3348.35,3348.35,3348.35,0.0
2025-01-01 05:55:00,3345.92,3345.92,3345.92,3345.92,0.0337
2025-01-01 06:00:00,3345.0,3345.0,3345.0,3345.0,2.3272
2025-01-01 06:05:00,3345.45,3345.45,3340.0,3340.0,11.6676
2025-01-01 06:10:00,3340.0,3340.0,3340.0,3340.0,0.0
2025-01-01 06:15:00,3342.0,3342.03,3342.0,3342.03,0.2772
2025-01-01 06:20:00,3342.78,3342.78,3342.78,3342.78,0.0014
2025-01-01 06:25:00,3345.1,3345.1,3341.75,3341.75,0.0218
2025-01-01 06:30:00,3341.75,3341.75,3341.75,3341.75,0.0
2025-01-01 06:35:00,3340.0,3340.0,3339.51,3339.51,0.8628
2025-01-01 06:40:00,3342.11,3343.53,3342.11,3343.53,0.5222
2025-01-01 06:45:00,3343.53,3343.53,3343.53,3343.53,0.0
2025-01-01 06:50:00,3343.53,3344.78,3343.53,3344.78,0.24
2025-01-01 06:55:00,3345.01,3345.01,3345.01,3345.01,0.09
2025-01-01 07:00:00,3345.01,3345.01,3345.01,3345.01,0.003
2025-01-01 07:05:00,3340.0,3340.0,3340.0,3340.0,0.015
2025-01-01 07:10:00,3340.0,3340.0,3340.0,3340.0,0.0
2025-01-01 07:15:00,3344.56,3344.56,3344.56,3344.56,0.4119
2025-01-01 07:20:00,3345.51,3345.51,3342.92,3342.92,0.0528
2025-01-01 07:25:00,3342.92,3342.92,3342.92,3342.92,0.0
2025-01-01 07:30:00,3340.07,3340.07,3340.07,3340.07,0.019
2025-01-01 07:35:00,3342.13,3343.92,3342.13,3343.92,0.0204
2025-01-01 07:40:00,3344.38,3344.38,3344.38,3344.38,0.0015
2025-01-01 07:45:00,3344.65,3344.65,3344.32,3344.32,0.003
2025-01-01 07:50:00,3342.88,3344.7,3342.88,3344.7,0.0035
2025-01-01 07:55:00,3348.96,3348.96,3348.19,3348.2,1.4935
2025-01-01 08:00:00,3347.39,3347.39,3346.22,3346.22,0.4165
2025-01-01 08:05:00,3346.09,3346.09,3346.09,3346.09,0.0027
2025-01-01 08:10:00,3346.09,3346.09,3346.09,3346.09,0.0
2025-01-01 08:15:00,3348.04,3348.04,3348.04,3348.04,0.0027
2025-01-01 08:20:00,3348.04,3348.04,3348.04,3348.04,0.0
2025-01-01 08:25:00,3336.68,3336.68,3335.57,3335.87,0.0271
2025-01-01 08:30:00,3335.87,3335.87,3335.87,3335.87,0.0
2025-01-01 08:35:00,3340.86,3342.81,3338.66,3338.66,0.2309
2025-01-01 08:40:00,3338.66,3338.66,3338.66,3338.66,0.0
2025-01-01 08:45:00,3335.74,3338.66,3335.74,3338.66,2.3923
2025-01-01 08:50:00,3336.49,3336.49,3336.49,3336.49,0.0005
2025-01-01 08:55:00,3336.49,3336.49,3336.49,3336.49,0.0
2025-01-01 09:00:00,3341.92,3341.92,3341.92,3341.92,0.0112
2025-01-01 09:05:00,3337.78,3337.78,3337.78,3337.78,0.0005
2025-01-01 09:10:00,3337.78,3337.78,3337.78,3337.78,0.0
2025-01-01 09:15:00,3331.1,3332.12,3325.0,3325.04,0.7777
2025-01-01 09:20:00,3325.04,3326.7,3317.63,3317.64,10.4835
2025-01-01 09:25:00,3317.62,3321.39,3317.62,3321.39,0.0557
2025-01-01 09:30:00,3321.39,3321.39,3321.39,3321.39,0.0
2025-01-01 09:35:00,3324.9,3324.9,3324.44,3324.44,0.2294
2025-01-01 09:40:00,3326.21,3326.21,3326.21,3326.21,0.006
2025-01-01 09:45:00,3326.32,3326.32,3326.32,3326.32,0.01
2025-01-01 09:50:00,3328.39,3333.99,3328.39,3333.99,0.0122
2025-01-01 09:55:00,3332.6,3332.6,3332.6,3332.6,0.015
2025-01-01 10:00:00,3337.06,3337.06,3337.06,3337.06,0.0005
2025-01-01 10:05:00,3336.83,3338.12,3336.83,3338.12,0.2223
2025-01-01 10:10:00,3331.88,3334.26,3331.88,3334.26,0.2402
2025-01-01 10:15:00,3334.26,3334.26,3334.26,3334.26,0.0
2025-01-01 10:20:00,3336.08,3336.09,3336.08,3336.09,0.4401
2025-01-01 10:25:00,3336.09,3336.09,3336.09,3336.09,0.0
2025-01-01 10:30:00,3336.09,3336.09,3336.09,3336.09,0.0
2025-01-01 10:35:00,3334.33,3334.33,3334.33,3334.33,0.01
2025-01-01 10:40:00,3334.33,3334.33,3334.33,3334.33,0.0
2025-01-01 10:45:00,3330.62,3330.62,3330.62,3330.62,0.0004
2025-01-01 10:50:00,3330.62,3330.62,3330.62,3330.62,0.0
2025-01-01 10:55:00,3328.32,3328.32,3328.32,3328.32,0.0004
2025-01-01 11:00:00,3328.32,3328.32,3328.32,3328.32,0.0
2025-01-01 11:05:00,3327.1,3327.1,3327.1,3327.1,0.0005
2025-01-01 11:10:00,3327.1,3327.1,3327.1,3327.1,0.0
2025-01-01 11:15:00,3331.24,3331.24,3331.24,3331.24,0.0103
2025-01-01 11:20:00,3331.04,3331.04,3331.04,3331.04,0.0004
2025-01-01 11:25:00,3331.04,3331.04,3331.04,3331.04,0.0
2025-01-01 11:30:00,3331.04,3331.04,3331.04,3331.04,0.0
2025-01-01 11:35:00,3335.69,3335.69,3335.69,3335.69,0.0004
2025-01-01 11:40:00,3342.16,3343.0,3341.25,3341.25,0.7277
2025-01-01 11:45:00,3342.97,3348.31,3342.97,3348.31,0.053
2025-01-01 11:50:00,3340.26,3340.26,3340.26,3340.26,0.0007
2025-01-01 11:55:00,3340.26,3340.26,3340.26,3340.26,0.0
2025-01-01 12:00:00,3340.26,3340.26,3340.26,3340.26,0.0
2025-01-01 12:05:00,3340.26,3340.26,3340.26,3340.26,0.0
2025-01-01 12:10:00,3340.26,3340.26,3340.26,3340.26,0.0
2025-01-01 12:15:00,3340.26,3340.26,3340.26,3340.26,0.0
2025-01-01 12:20:00,3343.42,3348.74,3343.42,3348.74,0.0025
2025-01-01 12:25:00,3348.87,3348.87,3347.02,3347.02,0.0602
2025-01-01 12:30:00,3351.66,3352.0,3350.86,3352.0,0.0262
2025-01-01 12:35:00,3346.94,3346.94,3346.94,3346.94,0.0003
2025-01-01 12:40:00,3350.48,3350.48,3350.48,3350.48,0.0137
2025-01-01 12:45:00,3350.48,3350.48,3350.48,3350.48,0.0
2025-01-01 12:50:00,3350.48,3350.48,3350.48,3350.48,0.0
2025-01-01 12:55:00,3348.13,3348.14,3348.13,3348.14,0.0324
2025-01-01 13:00:00,3347.32,3352.31,3347.32,3352.31,0.0408
2025-01-01 13:05:00,3353.21,3353.21,3351.84,3351.84,0.0096
2025-01-01 13:10:00,3351.84,3351.84,3351.84,3351.84,0.0
2025-01-01 13:15:00,3342.64,3343.65,3334.94,3338.12,1.6295
2025-01-01 13:20:00,3339.46,3339.46,3335.19,3335.92,0.15
2025-01-01 13:25:00,3335.92,3335.92,3335.92,3335.92,0.0
2025-01-01 13:30:00,3335.92,3335.92,3335.92,3335.92,0.0
2025-01-01 13:35:00,3338.88,3338.88,3338.88,3338.88,0.0053
2025-01-01 13:40:00,3338.88,3338.88,3338.88,3338.88,0.0
2025-01-01 13:45:00,3338.88,3338.88,3338.88,3338.88,0.0
2025-01-01 13:50:00,3340.3,3342.7,3340.29,3340.37,0.2801
2025-01-01 13:55:00,3342.55,3342.55,3342.51,3342.51,0.1
2025-01-01 14:00:00,3346.14,3354.09,3346.14,3354.09,1.4343
2025-01-01 14:05:00,3355.58,3359.98,3349.73,3351.3,0.2666
2025-01-01 14:10:00,3351.3,3351.3,3351.3,3351.3,0.0
2025-01-01 14:15:00,3347.59,3347.59,3346.14,3346.14,0.011
2025-01-01 14:20:00,3346.15,3346.15,3344.52,3344.75,0.717
2025-01-01 14:25:00,3343.04,3343.04,3338.71,3340.48,0.0318
2025-01-01 14:30:00,3337.1,3337.1,3330.65,3330.65,1.5447
2025-01-01 14:35:00,3335.44,3341.3,3335.44,3340.42,0.0506
2025-01-01 14:40:00,3340.42,3340.42,3340.42,3340.42,0.0
2025-01-01 14:45:00,3345.66,3349.43,3345.11,3345.11,0.0358
2025-01-01 14:50:00,3348.82,3350.28,3348.82,3350.28,0.0026
2025-01-01 14:55:00,3348.66,3348.66,3348.66,3348.66,0.0048
2025-01-01 15:00:00,3352.14,3352.14,3349.88,3349.88,1.9944
2025-01-01 15:05:00,3347.36,3347.36,3347.36,3347.36,0.0066
2025-01-01 15:10:00,3339.14,3339.14,3335.29,3335.29,0.0026
2025-01-01 15:15:00,3340.71,3340.72,3340.71,3340.72,0.0149
2025-01-01 15:20:00,3343.33,3345.07,3342.0,3345.07,0.0841
2025-01-01 15:25:00,3343.58,3343.58,3339.86,3339.86,0.0237
2025-01-01 15:30:00,3343.29,3343.29,3343.29,3343.29,0.0003
2025-01-01 15:35:00,3343.29,3343.29,3343.29,3343.29,0.0
2025-01-01 15:40:00,3343.69,3343.69,3343.69,3343.69,0.0079
2025-01-01 15:45:00,3350.62,3353.56,3349.36,3349.57,1.0064
2025-01-01 15:50:00,3349.97,3352.39,3349.97,3352.39,0.0108
2025-01-01 15:55:00,3351.1,3351.1,3351.1,3351.1,0.0199
2025-01-01 16:00:00,3355.58,3358.16,3348.97,3350.56,0.4022
