timestamp,initial_price,initial_atr,baseline_pnl,strategy_pnl,pnl_improvement,label
2025-10-20 05:10:00,185.56,0.6352731018424984,-18.555999999999813,-18.555999999999813,0.0,-1
2025-10-20 05:15:00,185.55,0.624896451710892,-18.55499999999978,-18.55499999999978,0.0,-1
2025-10-20 05:20:00,185.47,0.659546705160115,-18.546999999999798,-18.546999999999798,0.0,-1
2025-10-20 05:25:00,185.79,0.6474362262201054,-18.579000000000008,-18.579000000000008,0.0,-1
2025-10-20 05:30:00,185.75,0.6440479243472425,-18.574999999999875,-18.574999999999875,0.0,-1
2025-10-20 05:35:00,185.59,0.6366159297510103,-18.558999999999912,-18.558999999999912,0.0,-1
2025-10-20 05:40:00,185.87,0.6161433633402235,-18.586999999999705,-18.586999999999705,0.0,-1
2025-10-20 05:45:00,186.0,0.6021331231016372,-18.599999999999852,-18.599999999999852,0.0,-1
2025-10-20 05:50:00,185.82,0.6162664714515211,-18.581999999999823,-18.581999999999823,0.0,-1
2025-10-20 05:55:00,185.69,0.6201045806335544,-18.568999999999676,-18.568999999999676,0.0,-1
2025-10-20 06:00:00,184.87,0.6150971105883014,-18.486999999999796,-18.486999999999796,0.0,-1
2025-10-20 06:05:00,184.67,0.6140187455462794,-18.4669999999997,-18.4669999999997,0.0,-1
2025-10-20 06:10:00,184.63,0.6001602637215443,-18.46299999999985,-18.46299999999985,0.0,-1
2025-10-20 06:15:00,185.62,0.6037202448842915,-18.561999999999728,-18.561999999999728,0.0,-1
2025-10-20 06:20:00,186.0,0.5877402273925562,-18.599999999999852,-18.599999999999852,0.0,-1
2025-10-20 06:25:00,185.75,0.5800444968645158,-18.574999999999875,-18.574999999999875,0.0,-1
2025-10-20 06:30:00,185.39,0.5843270328027657,-18.538999999999817,-18.538999999999817,0.0,-1
2025-10-20 06:35:00,186.32,0.5868751018882827,-18.631999999999778,-18.631999999999778,0.0,-1
2025-10-20 06:40:00,186.6,0.569955451753405,-18.659999999999854,-18.659999999999854,0.0,-1
2025-10-20 06:45:00,186.87,0.5806729194853045,-18.686999999999614,-18.686999999999614,0.0,-1
2025-10-20 06:50:00,186.8,0.5849105680934982,-18.679999999999666,-18.679999999999666,0.0,-1
2025-10-20 06:55:00,186.85,0.5752740989439618,-18.68499999999983,-18.68499999999983,0.0,-1
2025-10-20 07:00:00,186.43,0.574183091876536,-18.64299999999986,-18.64299999999986,0.0,-1
2025-10-20 07:05:00,186.11,0.573170013885355,-18.610999999999933,-18.610999999999933,0.0,-1
2025-10-20 07:10:00,186.72,0.5693721557506876,-18.67199999999997,-18.67199999999997,0.0,-1
2025-10-20 07:15:00,187.12,0.5565598589113538,-18.711999999999875,-18.711999999999875,0.0,-1
2025-10-20 07:20:00,186.68,0.5653770118462577,-18.667999999999836,-18.667999999999836,0.0,-1
2025-10-20 07:25:00,186.87,0.5564215110000963,-18.686999999999614,-18.686999999999614,0.0,-1
2025-10-20 07:30:00,186.81,0.5402485459286597,-18.680999999999983,-18.680999999999983,0.0,-1
2025-10-20 07:35:00,187.39,0.5380879355051833,-18.738999999999635,-18.738999999999635,0.0,-1
2025-10-20 07:40:00,188.05,0.5217959401119561,-18.804999999999836,-18.804999999999836,0.0,-1
2025-10-20 07:45:00,188.72,0.5295248015325303,-18.871999999999787,-18.871999999999787,0.0,-1
2025-10-20 07:50:00,191.33,0.5238444585659223,-19.13299999999964,-19.13299999999964,0.0,-1
2025-10-20 07:55:00,191.19,0.514998425811214,-19.118999999999744,-19.118999999999744,0.0,-1
2025-10-20 08:00:00,191.78,0.5067842525389828,-19.177999999999713,-19.177999999999713,0.0,-1
2025-10-20 08:05:00,191.53,0.5048710916433405,-19.152999999999736,-19.152999999999736,0.0,-1
2025-10-20 08:10:00,191.57,0.48809458509738635,-19.15699999999987,-19.15699999999987,0.0,-1
2025-10-20 08:15:00,190.94,0.4889449718761445,-19.093999999999767,-19.093999999999767,0.0,-1
2025-10-20 08:20:00,190.68,0.4918774738849914,-19.067999999999756,-19.067999999999756,0.0,-1
2025-10-20 08:25:00,191.0,0.5053147971789211,-19.099999999999966,-19.099999999999966,0.0,-1
2025-10-20 08:30:00,191.35,0.5313637402375699,-19.134999999999707,-19.134999999999707,0.0,-1
2025-10-20 08:35:00,191.6,0.5548377587920302,-19.159999999999684,-19.159999999999684,0.0,-1
2025-10-20 08:40:00,191.76,0.550920776021171,-19.175999999999647,-19.175999999999647,0.0,-1
2025-10-20 08:45:00,191.64,0.5651407205910873,-19.163999999999817,-19.163999999999817,0.0,-1
2025-10-20 08:50:00,192.02,0.5562020976917238,-19.20199999999994,-19.20199999999994,0.0,-1
2025-10-20 08:55:00,192.15,0.5293305192851706,-19.214999999999804,-19.214999999999804,0.0,-1
2025-10-20 09:00:00,191.82,0.5136640536219443,-19.181999999999846,-19.181999999999846,0.0,-1
2025-10-20 09:05:00,192.05,0.5155451926489477,-19.204999999999757,-19.204999999999757,0.0,-1
2025-10-20 09:10:00,192.07,0.5130062503168813,-19.206999999999823,-19.206999999999823,0.0,-1
2025-10-20 09:15:00,191.79,0.5485058038656748,-19.178999999999746,-19.178999999999746,0.0,-1
2025-10-20 09:20:00,192.79,0.5393268178752706,-19.27899999999994,-19.27899999999994,0.0,-1
2025-10-20 09:25:00,192.56,0.5186606165984655,-19.255999999999744,-19.255999999999744,0.0,-1
2025-10-20 09:30:00,192.86,0.5123277154128593,-19.285999999999888,-19.285999999999888,0.0,-1
2025-10-20 09:35:00,192.41,0.49073287859765563,-19.240999999999815,-19.240999999999815,0.0,-1
2025-10-20 09:40:00,192.56,0.48068053012639617,-19.255999999999744,-19.255999999999744,0.0,-1
2025-10-20 09:45:00,192.61,0.47920334940308273,-19.26099999999991,-19.26099999999991,0.0,-1
2025-10-20 09:50:00,193.32,0.4721173958742908,-19.33199999999971,-19.33199999999971,0.0,-1
2025-10-20 09:55:00,192.94,0.46768043902612694,-19.29399999999987,-19.29399999999987,0.0,-1
2025-10-20 10:00:00,193.21,0.4792746933814053,-19.32099999999963,-19.32099999999963,0.0,-1
2025-10-20 10:05:00,193.14,0.49361221528273197,-19.31399999999968,-19.31399999999968,0.0,-1
2025-10-20 10:10:00,192.93,0.4919256284768225,-19.292999999999836,-19.292999999999836,0.0,-1
2025-10-20 10:15:00,193.35,0.506073797871335,-19.33499999999981,-19.33499999999981,0.0,-1
2025-10-20 10:20:00,193.18,0.49563995516624065,-19.317999999999813,-19.317999999999813,0.0,-1
2025-10-20 10:25:00,193.38,0.48452281551150944,-19.33799999999991,-19.33799999999991,0.0,-1
2025-10-20 10:30:00,194.01,0.47705690011782986,-19.40100000000001,-19.40100000000001,0.0,-1
2025-10-20 10:35:00,193.5,0.47726712153798617,-19.34999999999974,-19.34999999999974,0.0,-1
2025-10-20 10:40:00,193.83,0.4803194699995593,-19.38299999999998,-19.38299999999998,0.0,-1
2025-10-20 10:45:00,193.52,0.5145823649995914,-19.351999999999805,-19.351999999999805,0.0,-1
2025-10-20 10:50:00,193.95,0.5306836246424764,-19.39499999999981,-19.39499999999981,0.0,-1
2025-10-20 10:55:00,193.92,0.5099205085965859,-19.391999999999996,-19.391999999999996,0.0,-1
