start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000056,56,0.16017666998016883,10.309186875001046,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000000057,1970-01-01 00:00:00.000000295,238,0.05327536151120893,11.16282499999943,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000000296,1970-01-01 00:00:00.000000350,54,0.5256819453310118,5.999062500000008,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000000351,1970-01-01 00:00:00.000000387,36,0.2024593764891348,12.984463125000673,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000000388,1970-01-01 00:00:00.000000621,233,8.257101269840895,42.245444730782474,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000000622,1970-01-01 00:00:00.000001950,1328,-695.3881898271175,631.924936171858,0,EXIT_STOP_LOSS
1970-01-01 00:00:00.000001951,1970-01-01 00:00:00.000001999,48,0.49573600056732303,24.211625055523086,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000002000,1970-01-01 00:00:00.000002099,99,0.7234655505364085,33.08999999999992,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000002100,1970-01-01 00:00:00.000002120,20,3.6917870496218743,37.983782225895716,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000002121,1970-01-01 00:00:00.000002303,182,0.021475410827695857,31.156622499999287,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000002304,1970-01-01 00:00:00.000002376,72,1.1005071929758072,8.797339999999394,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000002377,1970-01-01 00:00:00.000003359,982,3.3370288177845744,114.15235624999889,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000003360,1970-01-01 00:00:00.000004173,813,0.0006093783165747706,249.51342624999904,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000004174,1970-01-01 00:00:00.000004252,78,4.4914651558773055,2.8003475000004983,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000004253,1970-01-01 00:00:00.000004361,108,0.004512387747993313,7.209035635076177,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000004362,1970-01-01 00:00:00.000004398,36,0.14549745882163456,11.543090765523406,2,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000004399,1970-01-01 00:00:00.000005086,687,264.68371904517346,393.2133308788922,1,EXIT_PROFIT_TARGET_MET
1970-01-01 00:00:00.000005087,1970-01-01 00:00:00.000005112,25,0.31926478380067325,15.71906249999995,2,EXIT_PROFIT_TARGET_MET
