timestamp,baseline_pnl,strategy_pnl,label,final_status
2025-01-01 15:10:00,-1872.473800000007,0.33022699401847344,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:15:00,-1872.473800000007,0.4584856225585927,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:20:00,-1873.9964000000036,0.3699578784180275,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:25:00,-1875.938599999994,0.49318977966321276,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:30:00,-1877.8352000000014,0.5596262957764293,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:35:00,-1877.0879999999888,0.1079241198731582,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:40:00,-1876.3619999999937,0.3170734423827497,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:45:00,-1876.3619999999937,0.32429003173831816,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:50:00,-1876.3619999999937,0.748104036865131,1,EXIT_PROFIT_TARGET_MET
2025-01-01 15:55:00,-1876.3619999999937,0.3820624414061342,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:00:00,-1875.351800000004,1.2777756030274317,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:05:00,-1873.9866000000038,0.4714581347651965,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:10:00,-1872.4739999999874,1.0899842968756417,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:15:00,-1873.2657999999938,0.7657998437504716,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:20:00,-1873.1816000000108,18.95204371093743,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:25:00,-1872.4739999999874,94.01774656250649,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:30:00,-1872.4739999999874,94.01774656250649,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:35:00,-1872.473800000007,94.01996218751117,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:40:00,-1873.9260000000068,77.93230906250619,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:45:00,-1873.9260000000068,77.93230906250619,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:50:00,-1872.474199999997,137.58127921873972,1,EXIT_PROFIT_TARGET_MET
2025-01-01 16:55:00,-1872.474199999997,567.0685731249903,1,EXIT_PROFIT_TARGET_MET
2025-01-01 17:00:00,-1872.474199999997,41.10064374996364,1,EXIT_PROFIT_TARGET_MET
