start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status
2025-01-01 13:30:00,2025-01-13 10:30:00,3420,0.007748333646022759,1102.0387499999852,57,EXIT_PROFIT_TARGET_MET
2025-01-13 10:35:00,2025-02-01 23:10:00,5623,4.529125248618912e-08,7043.706572506939,99,EXIT_PROFIT_TARGET_MET
2025-02-01 23:15:00,2025-02-24 22:40:00,6617,1.5579757913705423e-07,3529.9843778689865,118,EXIT_PROFIT_TARGET_MET
2025-02-24 22:45:00,2025-02-25 10:20:00,139,193.6437089334895,1296.7101368083786,4,EXIT_PROFIT_TARGET_MET
2025-02-25 10:25:00,2025-02-26 15:10:00,345,-18856.157618327165,14709.69032968732,0,EXIT_STOP_LOSS
2025-02-26 15:15:00,2025-03-02 16:35:00,1168,189.29444446112302,6429.379286255184,16,EXIT_PROFIT_TARGET_MET
2025-03-02 16:40:00,2025-03-03 19:50:00,326,218.16254591143388,5325.030455426944,7,EXIT_PROFIT_TARGET_MET
2025-03-03 19:55:00,2025-03-09 16:35:00,1688,1.35085899968513,7866.584773051005,33,EXIT_PROFIT_TARGET_MET
2025-03-09 16:40:00,2025-04-01 15:35:00,6611,7.828943564338469e-08,3939.005028585745,125,EXIT_PROFIT_TARGET_MET
2025-04-01 15:40:00,2025-04-21 00:30:00,5578,1.308570136956727e-05,1095.2839424999802,98,EXIT_PROFIT_TARGET_MET
2025-04-21 00:35:00,2025-05-07 00:20:00,4605,9.272589385527852e-06,3861.959472730896,76,EXIT_PROFIT_TARGET_MET
2025-05-07 00:25:00,2025-05-08 16:45:00,484,-20399.123549386015,15501.544785878134,0,EXIT_STOP_LOSS
2025-05-08 16:50:00,2025-05-09 07:10:00,172,-20905.119669896547,15858.193980555945,0,EXIT_STOP_LOSS
2025-05-09 07:15:00,2025-05-12 18:25:00,998,9.66703440962533,1792.4287500000046,18,EXIT_PROFIT_TARGET_MET
2025-05-12 18:30:00,2025-06-23 17:25:00,12083,-20713.304909878454,15975.097695429118,0,EXIT_STOP_LOSS
2025-06-23 17:30:00,2025-07-14 03:40:00,5882,1.2192655439126216e-06,8794.736071240119,118,EXIT_PROFIT_TARGET_MET
2025-07-14 03:45:00,2025-08-12 10:00:00,8427,6.635199060256995e-08,3186.563605602275,143,EXIT_PROFIT_TARGET_MET
2025-08-12 10:05:00,2025-08-22 18:10:00,2977,0.00032710328687017565,1615.4568780246263,63,EXIT_PROFIT_TARGET_MET
2025-08-22 18:15:00,2025-08-25 20:30:00,891,281.90875973296716,4151.4161225442385,8,EXIT_PROFIT_TARGET_MET
2025-08-25 20:35:00,2025-09-10 13:45:00,4526,0.008382595105745239,2413.8158814053895,75,EXIT_PROFIT_TARGET_MET
2025-09-10 13:50:00,2025-09-18 03:40:00,2182,19.41660725455813,2578.259988922169,29,EXIT_PROFIT_TARGET_MET
2025-09-18 03:45:00,2025-09-22 19:40:00,1343,30.290111763904406,1283.7476166604683,14,EXIT_PROFIT_TARGET_MET
2025-09-22 19:45:00,2025-09-25 17:45:00,840,59.54692981320932,3152.3737500000007,12,EXIT_PROFIT_TARGET_MET
2025-09-25 17:50:00,2025-10-21 15:05:00,7455,6.329155897219355e-07,1688.7564375000184,96,EXIT_PROFIT_TARGET_MET
2025-10-21 15:10:00,2025-10-22 06:35:00,185,9.553637704042558,1274.3774999999987,5,EXIT_PROFIT_TARGET_MET
2025-10-22 06:40:00,2025-10-30 01:05:00,2237,-161.51227935581016,6072.053831988129,26,HOLD
