start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status,reversal_attempted
2023-01-11 09:45:00,2023-01-19 18:15:00,3,56.840303418087046,0.0,0,EXIT_PROFIT_TARGET_MET,False
2023-01-19 18:30:00,2023-01-19 20:45:00,9,0.9554705867381585,5.675938981250255,1,EXIT_PROFIT_TARGET_MET,True
2023-01-19 21:00:00,2023-01-20 00:15:00,13,8.107573611669068,15.95627249999825,1,EXIT_PROFIT_TARGET_MET,True
2023-01-20 00:30:00,2023-01-20 02:15:00,7,1.3612597652578984,2.4723149999995258,1,EXIT_PROFIT_TARGET_MET,True
2023-01-20 02:30:00,2023-01-20 18:00:00,62,74.3758952008939,35.784543124999516,0,EXIT_PROFIT_TARGET_MET,False
2023-01-20 18:15:00,2023-01-20 20:00:00,7,120.04109117259355,16.467147187500913,0,EXIT_PROFIT_TARGET_MET,False
2023-01-20 20:15:00,2023-01-21 00:00:00,15,-840.0391843152444,814.3026379490025,0,EXIT_STOP_LOSS,False
2023-01-21 00:15:00,2023-01-30 10:45:00,107,-342.23383029247344,343.2693660548148,1,EXIT_REVERSAL_STOP_LOSS,True
2023-01-30 11:00:00,2023-02-09 14:00:00,173,73.36704928139852,40.3281249999999,0,EXIT_PROFIT_TARGET_MET,False
2023-02-09 14:15:00,2023-02-09 22:45:00,34,162.0197471306086,28.101863712832653,1,EXIT_PROFIT_TARGET_MET,True
2023-02-09 23:00:00,2023-02-10 15:45:00,67,69.98932887644997,63.6375000000001,1,EXIT_PROFIT_TARGET_MET,True
2023-02-10 16:00:00,2023-02-10 22:15:00,25,12.24645960676176,92.09914062499928,0,EXIT_PROFIT_TARGET_MET,False
2023-02-10 22:30:00,2023-02-20 02:30:00,81,-347.14899453804344,312.67140707027863,0,EXIT_STOP_LOSS,False
2023-02-20 02:45:00,2023-02-20 09:45:00,28,2.0825815452525376,25.08666949745134,1,EXIT_PROFIT_TARGET_MET,True
2023-02-20 10:00:00,2023-02-20 13:30:00,14,-538.586360533777,524.4951171875177,0,EXIT_STOP_LOSS,False
2023-02-20 13:45:00,2023-03-03 03:30:00,216,-416.70209652646673,381.08383554687674,0,EXIT_STOP_LOSS,False
2023-03-03 03:45:00,2023-03-12 19:30:00,128,6.276979675970722,79.42500000000024,1,EXIT_PROFIT_TARGET_MET,True
2023-03-12 19:45:00,2023-03-13 07:30:00,47,85.19196571617147,65.18566499999895,1,EXIT_PROFIT_TARGET_MET,True
2023-03-13 07:45:00,2023-03-13 15:15:00,30,73.11670706218194,57.890137499999696,1,EXIT_PROFIT_TARGET_MET,False
2023-03-13 15:30:00,2023-03-13 18:45:00,13,10.14287897237864,36.3530137499983,1,EXIT_PROFIT_TARGET_MET,True
2023-03-13 19:00:00,2023-03-14 12:45:00,71,32.595712936918346,103.83749999999978,1,EXIT_PROFIT_TARGET_MET,True
2023-03-14 13:00:00,2023-03-14 14:45:00,7,84.58709740018836,14.3012887499996,0,EXIT_PROFIT_TARGET_MET,False
2023-03-14 15:00:00,2023-03-23 15:30:00,67,247.3436818111719,238.71140681117225,1,EXIT_PROFIT_TARGET_MET,True
2023-03-23 15:45:00,2023-03-23 18:15:00,10,6.581427619562703,21.93208124999893,1,EXIT_PROFIT_TARGET_MET,True
2023-03-23 18:30:00,2023-04-03 19:15:00,260,48.9742910340334,133.48568249999983,1,EXIT_PROFIT_TARGET_MET,True
2023-04-03 19:30:00,2023-04-04 13:00:00,70,0.4151895089790969,74.10638250000034,1,EXIT_PROFIT_TARGET_MET,True
2023-04-04 13:15:00,2023-04-12 23:45:00,11,378.3624525522438,45.06346874999956,0,EXIT_PROFIT_TARGET_MET,False
2023-04-13 00:00:00,2023-04-13 08:45:00,35,195.42386730322022,39.56369999999947,1,EXIT_PROFIT_TARGET_MET,True
2023-04-13 09:00:00,2023-04-13 12:45:00,15,13.0954250988421,27.41586332504724,1,EXIT_PROFIT_TARGET_MET,True
2023-04-13 13:00:00,2023-04-14 00:30:00,46,-454.70109486746514,452.30468750000085,0,EXIT_STOP_LOSS,False
2023-04-14 00:45:00,2023-04-14 04:00:00,13,6.960991991819014,21.853940575500417,1,EXIT_PROFIT_TARGET_MET,True
2023-04-14 04:15:00,2023-04-14 21:15:00,68,56.29397302706616,535.7421875000014,0,EXIT_PROFIT_TARGET_MET,False
2023-04-14 21:30:00,2023-04-24 16:45:00,142,451.70938862078276,294.921875,0,EXIT_PROFIT_TARGET_MET,False
2023-04-24 17:00:00,2023-05-05 09:30:00,227,-434.1301380409779,401.3746646093361,0,EXIT_STOP_LOSS,False
2023-05-05 09:45:00,2023-05-05 14:30:00,19,43.20456263842516,13.452677681447796,1,EXIT_PROFIT_TARGET_MET,True
2023-05-05 14:45:00,2023-05-05 16:00:00,5,92.25079522888251,24.291356249999012,1,EXIT_PROFIT_TARGET_MET,True
2023-05-05 16:15:00,2023-05-05 19:15:00,12,-22.66333815897525,35.42185179536915,1,EXIT_SPREAD_TARGET_MET,True
2023-05-05 19:30:00,2023-05-14 05:00:00,7,-1519.7992918228651,1483.0209093750032,0,EXIT_STOP_LOSS,False
2023-05-14 05:15:00,2023-05-24 15:00:00,200,3.1573202684347734,201.2999999999994,1,EXIT_PROFIT_TARGET_MET,True
2023-05-24 15:15:00,2023-05-25 01:45:00,42,36.911462185139214,73.67369799847751,1,EXIT_PROFIT_TARGET_MET,True
2023-05-25 02:00:00,2023-05-26 13:30:00,142,60.00486911113782,26.493750000000205,1,EXIT_PROFIT_TARGET_MET,True
2023-05-26 13:45:00,2023-06-04 00:45:00,13,11.021034723032983,109.81329274109967,1,EXIT_PROFIT_TARGET_MET,True
2023-06-04 01:00:00,2023-06-04 04:15:00,13,-534.0435672999133,501.82188953117475,0,EXIT_STOP_LOSS,False
2023-06-04 04:30:00,2023-06-05 21:45:00,165,3.166851935727948,141.4156049999998,1,EXIT_PROFIT_TARGET_MET,True
2023-06-05 22:00:00,2023-06-14 10:15:00,18,0.5450433297107793,15.664395000000695,0,EXIT_PROFIT_TARGET_MET,False
2023-06-14 10:30:00,2023-06-14 18:15:00,31,0.10035723588714518,29.67385251351928,1,EXIT_PROFIT_TARGET_MET,True
2023-06-14 18:30:00,2023-06-14 20:00:00,6,108.99884559985566,4.346219999998482,1,EXIT_PROFIT_TARGET_MET,True
2023-06-14 20:15:00,2023-06-14 23:00:00,11,1.470026840925982,23.609235573983085,1,EXIT_PROFIT_TARGET_MET,True
2023-06-14 23:15:00,2023-06-24 20:45:00,151,398.7975569436776,34.44375000000022,1,EXIT_PROFIT_TARGET_MET,True
