start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status,reversal_attempted
2025-01-01 09:20:00,2025-01-01 13:15:00,47,0.6341863086868216,15.907500000000027,1,EXIT_PROFIT_TARGET_MET,True
2025-01-01 13:20:00,2025-01-02 09:55:00,247,-831.9394078499281,767.8388970043713,0,EXIT_STOP_LOSS,False
2025-01-02 10:00:00,2025-01-02 13:45:00,45,11.154921318990773,7.110000000000014,1,EXIT_PROFIT_TARGET_MET,True
2025-01-02 13:50:00,2025-01-02 14:40:00,10,10.866099467921003,11.453841834175705,1,EXIT_PROFIT_TARGET_MET,True
2025-01-02 14:45:00,2025-01-03 06:20:00,187,7.374874411804484,157.3935205078128,0,EXIT_PROFIT_TARGET_MET,False
2025-01-03 06:25:00,2025-01-03 13:10:00,81,1.3024548032943244,29.79991273087603,1,EXIT_PROFIT_TARGET_MET,True
2025-01-03 13:15:00,2025-01-09 20:15:00,1812,-719.8535213130435,701.5770703124996,0,EXIT_STOP_LOSS,False
2025-01-09 20:20:00,2025-01-10 07:40:00,136,0.5766504343559973,32.05958484374935,0,EXIT_PROFIT_TARGET_MET,False
2025-01-10 07:45:00,2025-01-10 13:35:00,70,35.05622516235451,55.80000000000041,1,EXIT_PROFIT_TARGET_MET,True
2025-01-10 13:40:00,2025-01-10 14:40:00,12,9.46732995721635,15.137162366853431,1,EXIT_PROFIT_TARGET_MET,True
2025-01-10 14:45:00,2025-01-13 10:00:00,807,2.097163422058088,63.71499999999992,1,EXIT_PROFIT_TARGET_MET,True
2025-01-13 10:05:00,2025-01-14 19:30:00,401,24.90620380497802,80.13102292968074,0,EXIT_PROFIT_TARGET_MET,False
2025-01-14 19:35:00,2025-01-17 20:30:00,875,-698.1400573862368,648.2974218749997,0,EXIT_STOP_LOSS,False
2025-01-17 20:35:00,2025-01-17 21:35:00,12,7.317740892449365,4.7379020983375995,1,EXIT_PROFIT_TARGET_MET,True
2025-01-17 21:40:00,2025-01-18 04:15:00,79,1.3251469873682709,76.6122792077336,1,EXIT_PROFIT_TARGET_MET,True
2025-01-18 04:20:00,2025-01-18 05:25:00,13,0.7849288984353961,41.016178335777454,1,EXIT_PROFIT_TARGET_MET,True
2025-01-18 05:30:00,2025-01-18 08:05:00,31,5.132377932690247,38.22931541090122,1,EXIT_PROFIT_TARGET_MET,True
2025-01-18 08:10:00,2025-01-18 11:40:00,42,50.373327614295704,24.554999999999836,1,EXIT_PROFIT_TARGET_MET,True
2025-01-18 11:45:00,2025-01-18 16:05:00,52,17.925322002323583,32.610000000000014,1,EXIT_PROFIT_TARGET_MET,True
2025-01-18 16:10:00,2025-01-18 18:00:00,22,0.8235614282338588,37.77947414837212,1,EXIT_PROFIT_TARGET_MET,True
2025-01-18 18:05:00,2025-01-19 02:40:00,103,33.390411784671755,74.82749999999999,1,EXIT_PROFIT_TARGET_MET,True
2025-01-19 02:45:00,2025-01-19 14:10:00,137,44.79966942880543,315.5013281250001,0,EXIT_PROFIT_TARGET_MET,False
2025-01-19 14:15:00,2025-01-19 15:10:00,11,11.732531195407546,43.16327198436204,1,EXIT_PROFIT_TARGET_MET,True
2025-01-19 15:15:00,2025-01-19 21:00:00,69,54.62919524426081,109.42500000000024,1,EXIT_PROFIT_TARGET_MET,True
2025-01-19 21:05:00,2025-01-19 22:15:00,14,78.6390516911867,172.96291975351517,1,EXIT_PROFIT_TARGET_MET,True
2025-01-19 22:20:00,2025-01-19 23:20:00,12,-40.872297141880324,60.901692094671944,1,EXIT_SPREAD_TARGET_MET,True
2025-01-19 23:25:00,2025-01-20 00:35:00,14,6.981264014037379,18.20685999999978,1,EXIT_PROFIT_TARGET_MET,True
2025-01-20 00:40:00,2025-01-20 01:30:00,10,3.808916955660891,8.718989999999508,1,EXIT_PROFIT_TARGET_MET,True
2025-01-20 01:35:00,2025-01-20 07:20:00,69,6.625695824540458,0.7981800000002295,1,EXIT_PROFIT_TARGET_MET,False
2025-01-20 07:25:00,2025-01-20 17:15:00,118,1.3096038569649417,76.6375488281287,0,EXIT_PROFIT_TARGET_MET,False
2025-01-20 17:20:00,2025-01-20 18:00:00,8,38.718800864649666,72.5285186509239,1,EXIT_PROFIT_TARGET_MET,True
2025-01-20 18:05:00,2025-01-20 19:20:00,15,2.1539169181871785,21.254219340928046,1,EXIT_PROFIT_TARGET_MET,True
2025-01-20 19:25:00,2025-01-22 11:15:00,478,23.88808803611815,128.11840019530547,0,EXIT_PROFIT_TARGET_MET,False
2025-01-22 11:20:00,2025-01-24 06:35:00,519,8.728592880258645,70.10500000000002,1,EXIT_PROFIT_TARGET_MET,True
2025-01-24 06:40:00,2025-01-31 17:05:00,2141,7.3844282043075395,191.54499999999985,1,EXIT_PROFIT_TARGET_MET,True
2025-01-31 17:10:00,2025-01-31 18:20:00,14,8.61801472212187,21.587877169246894,1,EXIT_PROFIT_TARGET_MET,True
2025-01-31 18:25:00,2025-01-31 19:55:00,18,2.702152228387547,13.345285163549363,1,EXIT_PROFIT_TARGET_MET,True
2025-01-31 20:00:00,2025-02-01 08:30:00,150,8.94142576598719,29.868750000000162,0,EXIT_PROFIT_TARGET_MET,False
2025-02-01 08:35:00,2025-02-01 10:40:00,25,0.16862542582214246,29.354956006537634,1,EXIT_PROFIT_TARGET_MET,True
