start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status,reversal_attempted
2025-01-01 09:20:00,2025-01-01 13:15:00,47,0.6341863086868216,15.907500000000027,1,EXIT_PROFIT_TARGET_MET,True
2025-01-01 13:20:00,2025-01-01 16:05:00,33,-711.5380225101155,642.0722566645575,0,EXIT_STOP_LOSS,False
2025-01-01 16:10:00,2025-01-01 18:45:00,31,0.3227216983135577,6.324705844600828,1,EXIT_PROFIT_TARGET_MET,True
2025-01-01 18:50:00,2025-01-01 23:10:00,52,0.3612440075934842,20.8093685303773,1,EXIT_PROFIT_TARGET_MET,True
2025-01-01 23:15:00,2025-01-02 03:00:00,45,2.2759208377855202,46.172378912764316,1,EXIT_PROFIT_TARGET_MET,True
2025-01-02 03:05:00,2025-01-02 10:15:00,86,-677.4436518894533,615.7302475542954,0,EXIT_STOP_LOSS,False
2025-01-02 10:20:00,2025-01-02 14:55:00,55,-677.9640861625392,615.3350313527933,0,EXIT_STOP_LOSS,False
2025-01-02 15:00:00,2025-01-02 16:00:00,12,7.4903919998951665,31.546915197574037,1,EXIT_PROFIT_TARGET_MET,True
2025-01-02 16:05:00,2025-01-02 17:35:00,18,14.896999229532526,17.47375577388783,1,EXIT_PROFIT_TARGET_MET,True
2025-01-02 17:40:00,2025-01-03 06:20:00,152,4.156113716110667,36.84750000000008,1,EXIT_PROFIT_TARGET_MET,True
2025-01-03 06:25:00,2025-01-03 13:10:00,81,3.8127948711018576,39.374232989491475,1,EXIT_PROFIT_TARGET_MET,True
2025-01-03 13:15:00,2025-01-03 16:20:00,37,2.14902297875517,40.649558675738206,1,EXIT_PROFIT_TARGET_MET,True
2025-01-03 16:25:00,2025-01-03 17:25:00,12,0.05800941018873118,5.242499999999836,1,EXIT_PROFIT_TARGET_MET,True
2025-01-03 17:30:00,2025-01-03 18:35:00,13,1.803763144565778,12.812247762601146,1,EXIT_PROFIT_TARGET_MET,True
2025-01-03 18:40:00,2025-01-04 09:45:00,181,-818.2207188535681,740.0879690857935,0,EXIT_STOP_LOSS,False
2025-01-04 09:50:00,2025-01-04 12:25:00,31,0.08090997689180313,20.155767979186294,1,EXIT_PROFIT_TARGET_MET,True
2025-01-04 12:30:00,2025-01-04 14:50:00,28,2.169771524724297,22.574901091307197,1,EXIT_PROFIT_TARGET_MET,True
2025-01-04 14:55:00,2025-01-04 15:45:00,10,3.799018437976997,31.48632950691848,1,EXIT_PROFIT_TARGET_MET,True
2025-01-04 15:50:00,2025-01-04 16:50:00,12,2.958927822130647,3.0837699999997312,1,EXIT_PROFIT_TARGET_MET,True
2025-01-04 16:55:00,2025-01-05 01:30:00,103,1.240243238199696,90.86250000000007,1,EXIT_PROFIT_TARGET_MET,True
2025-01-05 01:35:00,2025-01-05 10:20:00,105,3.509417538051423,67.7249999999998,1,EXIT_PROFIT_TARGET_MET,True
2025-01-05 10:25:00,2025-01-05 15:30:00,61,3.1905427090339344,19.474237076146096,1,EXIT_PROFIT_TARGET_MET,True
2025-01-05 15:35:00,2025-01-06 02:00:00,125,6.494665841765709,33.600683800582374,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 02:05:00,2025-01-06 03:45:00,20,7.957791257705708,8.857195123267502,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 03:50:00,2025-01-06 06:10:00,28,2.990830991174505,46.38749999999959,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 06:15:00,2025-01-06 14:05:00,94,3.2978615886402736,51.712499999999864,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 14:10:00,2025-01-06 14:50:00,8,9.187925217468319,43.16480236964526,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 14:55:00,2025-01-06 16:45:00,22,27.0447169304569,24.553375255326102,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 16:50:00,2025-01-06 18:20:00,18,11.036815292358654,49.736864376586595,1,EXIT_PROFIT_TARGET_MET,True
2025-01-06 18:25:00,2025-01-07 11:30:00,205,1.0444428640782917,21.487499999999727,1,EXIT_PROFIT_TARGET_MET,True
